dataset,turns,model,n_questions,mean_lexical_tokens,median_lexical_tokens,mean_provider_tokens,mean_rank,length_adjusted_mean_rank,mean_rubric_z,length_adjusted_mean_rubric_z
real_pocqi,,Qwen/Qwen3.5-122B-A10B-FP8,620,750.9774193548387,733.0,898.5532258064516,6.523588709677419,6.839819038948987,-0.9008487678857107,-1.0416148140633819
real_pocqi,,Qwen/Qwen3.8-27B-FP8,620,857.4145161290322,831.0,1026.0919354838709,6.9887096774193544,7.525427550699352,-1.2543145074738145,-1.4932278751718024
real_pocqi,,claude-opus-5,620,1007.1129032258065,963.0,3049.701612903226,1.8870967741935485,2.764284847957923,1.0432107987540915,0.6527413039954787
real_pocqi,,claude-sonnet-5,620,690.8564516129032,682.0,1386.458064516129,4.389314516129033,4.5677788884351145,0.15403587723953807,0.07459465434679825
real_pocqi,,gemini-3.1-pro-preview,620,587.7080645161291,564.5,683.4306451612903,4.620161290322581,4.4789254399608645,0.028540792221898228,0.09141019592443403
real_pocqi,,gemini-3.7-flash,620,652.3193548387097,628.5,749.9532258064517,3.9191532258064514,3.967093895022118,0.2885644420609393,0.2672242421119154
real_pocqi,,gpt-5.6-sol,620,364.18225806451613,309.0,818.1177419354839,4.300806451612903,3.000795853058994,0.14541807828015857,0.7241018255634569
real_pocqi,,gpt-5.6-terra,620,550.058064516129,469.0,934.2548387096774,3.3711693548387096,2.855874485916648,0.4953932868028994,0.724770467293101
medsp1000,2,claude-opus-5,200,56.045,53.0,108.955,3.4166666666666665,3.501408680169158,-0.004346672283978449,-0.051035960525554654
medsp1000,2,claude-sonnet-5,200,58.375,54.0,90.615,3.505,3.6502068365531537,0.0404132090535416,-0.03958965571528209
medsp1000,2,gemini-3.1-pro-preview,200,57.165,55.0,63.125,3.450833333333333,3.5987893429407474,0.0031460667118900307,-0.0783714768785851
medsp1000,2,gemini-3.7-flash,200,50.845,49.0,55.985,3.910833333333333,3.8303246199383305,-0.2418671804972556,-0.19751026271470581
medsp1000,2,gpt-5.6-sol,200,40.09,38.0,96.135,3.0825,2.5461237135598074,0.30930316735080865,0.6048239605027936
medsp1000,2,gpt-5.6-terra,200,63.4,55.0,110.465,3.6341666666666668,3.87314680683881,-0.10664859033500673,-0.2383166046686701
medsp1000,4,claude-opus-5,200,121.75,110.5,233.485,3.335,3.3778373191645317,0.05673619727771416,0.03241380860211751
medsp1000,4,claude-sonnet-5,200,154.725,134.5,297.45,2.4775,3.2412360969215475,0.6414020296650865,0.20776410466884843
medsp1000,4,gemini-3.1-pro-preview,200,122.1,112.0,133.345,4.0841666666666665,4.208969139968799,-0.35677066570636956,-0.4276316421290856
medsp1000,4,gemini-3.7-flash,200,110.335,103.0,120.21,4.0325,3.853749211882061,-0.3192261008492485,-0.21773407871837933
medsp1000,4,gpt-5.6-sol,200,92.725,86.0,231.355,3.2675,2.5486580858283747,0.1959973275632608,0.6041450075251885
medsp1000,4,gpt-5.6-terra,200,119.48,109.5,215.78,3.8033333333333332,3.7695501462346814,-0.2181387879504435,-0.19895719994868638
medsp1000,6,claude-opus-5,200,212.56,176.0,415.54,2.9683333333333333,3.128387495534614,0.28493813260625006,0.1951115403635043
medsp1000,6,claude-sonnet-5,200,291.57,246.5,609.25,2.3325,3.605770156541943,0.7050411194462342,-0.009551475919806623
medsp1000,6,gemini-3.1-pro-preview,200,193.95,176.5,209.53,4.41,4.403197704306457,-0.5608477499521681,-0.5570301232614608
medsp1000,6,gemini-3.7-flash,200,178.185,159.5,192.63,4.178333333333334,3.8701659446673813,-0.42888792687242555,-0.25593630859837874
medsp1000,6,gpt-5.6-sol,200,152.06,139.0,414.385,3.2641666666666667,2.4079088998990925,0.18698447419946804,0.667538782892727
medsp1000,6,gpt-5.6-terra,200,185.195,166.5,355.99,3.8466666666666667,3.584569799050509,-0.1872280494273586,-0.04013241547658349
medsp1000,8,claude-opus-5,200,399.585,368.0,752.42,2.0966666666666667,2.656436093127226,0.7590400670460191,0.4198739458340925
medsp1000,8,claude-sonnet-5,200,516.06,480.0,991.51,2.5275,3.97188947575746,0.5597131631139157,-0.3154471312050564
medsp1000,8,gemini-3.1-pro-preview,200,311.05,298.5,334.32,4.8,4.591959320007218,-0.8208681628639911,-0.6948156363199841
medsp1000,8,gemini-3.7-flash,200,304.165,280.5,327.015,4.2975,4.019685523472992,-0.47968096843515373,-0.3113522709998966
medsp1000,8,gpt-5.6-sol,200,258.42,236.0,705.47,3.18,2.2988820099364538,0.2763666143849209,0.8102388783803142
medsp1000,8,gpt-5.6-terra,200,282.3,259.0,553.9,4.098333333333334,3.4611475776986445,-0.2945707132457107,0.09150221431053335
